City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
98,Klaksvik,FO,2021-08-01 22:43:20,62.2266,-6.589,49.12,81,65,6.73,broken clouds
99,Lingao,CN,2021-08-01 22:43:21,19.9103,109.6859,78.84,92,99,18.77,moderate rain
100,Bilibino,RU,2021-08-01 22:37:07,68.0546,166.4372,45.28,51,76,8.05,broken clouds
101,Stornoway,GB,2021-08-01 22:43:21,58.2093,-6.3865,51.93,81,90,4.61,overcast clouds
102,Souillac,MU,2021-08-01 22:36:14,-20.5167,57.5167,66.58,94,75,8.05,light intensity shower rain
103,Lavrentiya,RU,2021-08-01 22:36:12,65.5833,-171.0,41.67,84,100,15.82,overcast clouds
104,Tocopilla,CL,2021-08-01 22:43:22,-22.092,-70.1979,64.02,64,87,3.09,overcast clouds
105,Scarborough,GB,2021-08-01 22:40:14,54.2797,-0.4044,54.54,86,8,1.99,clear sky
106,Saint-Joseph,RE,2021-08-01 22:43:22,-21.3667,55.6167,64.78,75,37,8.3,scattered clouds
107,Poum,NC,2021-08-01 22:37:04,-20.2333,164.0167,69.22,55,3,12.55,clear sky
108,Bengkulu,ID,2021-08-01 22:43:22,-3.8004,102.2655,73.58,90,95,4.07,overcast clouds
109,Saint-Leu,RE,2021-08-01 22:43:23,-21.15,55.2833,65.26,66,19,2.91,few clouds
110,Narsaq,GL,2021-08-01 22:35:39,60.9167,-46.05,64.62,77,100,4.72,light rain
111,Tiksi,RU,2021-08-01 22:38:31,71.6872,128.8694,49.05,68,18,4.61,few clouds
112,Chokurdakh,RU,2021-08-01 22:35:32,70.6333,147.9167,42.28,63,39,8.32,scattered clouds
113,Aklavik,CA,2021-08-01 22:43:23,68.2191,-135.0107,84.92,39,99,15.5,overcast clouds
114,Pevek,RU,2021-08-01 22:36:26,69.7008,170.3133,33.73,95,100,16.2,overcast clouds
115,San Lazaro,BZ,2021-08-01 22:43:24,18.0387,-88.6622,87.58,77,91,6.8,overcast clouds
116,Hay River,CA,2021-08-01 22:43:24,60.8156,-115.7999,82.38,39,75,6.91,broken clouds
117,Taltal,CL,2021-08-01 22:40:20,-25.4,-70.4833,60.35,72,22,2.1,few clouds
118,Nanortalik,GL,2021-08-01 22:35:55,60.1432,-45.2371,48.15,80,100,11.1,overcast clouds
119,Kruisfontein,ZA,2021-08-01 22:36:08,-34.0033,24.7314,55.89,77,86,15.12,overcast clouds
120,Bosaso,SO,2021-08-01 22:43:25,11.2842,49.1816,89.62,41,76,17.34,broken clouds
121,San Cristobal,VE,2021-08-01 22:43:25,7.7669,-72.225,78.98,97,81,5.93,broken clouds
122,Beyneu,KZ,2021-08-01 22:43:25,45.3167,55.2,87.33,15,3,9.31,clear sky
123,Arona,ES,2021-08-01 22:43:26,28.0996,-16.681,65.01,72,0,21.85,clear sky
124,Ottawa,CA,2021-08-01 22:39:18,45.4112,-75.6981,67.75,74,75,1.01,broken clouds
125,Ciudad Bolivar,VE,2021-08-01 22:43:21,8.1222,-63.5497,78.33,84,20,5.73,few clouds
126,Flin Flon,CA,2021-08-01 22:43:26,54.7682,-101.865,85.84,28,1,8.05,smoke
127,Songea,TZ,2021-08-01 22:43:26,-10.6833,35.65,57.81,61,47,3.56,scattered clouds
128,Dom Pedrito,BR,2021-08-01 22:43:27,-30.9828,-54.6731,48.96,85,0,5.46,clear sky
129,Camacha,PT,2021-08-01 22:35:46,33.0833,-16.3333,68.76,78,40,12.66,scattered clouds
130,Saskylakh,RU,2021-08-01 22:35:35,71.9167,114.0833,74.61,42,0,3.47,clear sky
131,Purpe,RU,2021-08-01 22:43:27,64.4803,76.6897,55.96,69,94,11.77,overcast clouds
132,Talnakh,RU,2021-08-01 22:43:27,69.4865,88.3972,56.53,87,100,4.45,overcast clouds
133,Victoria,HK,2021-08-01 22:39:27,22.2855,114.1577,85.32,89,94,1.99,overcast clouds
134,Mar Del Plata,AR,2021-08-01 22:35:44,-38.0023,-57.5575,46.09,31,90,1.99,fog
135,Samfya,ZM,2021-08-01 22:40:55,-11.3649,29.5565,58.42,71,11,8.32,few clouds
136,Ikom,NG,2021-08-01 22:43:28,5.9667,8.7063,72.63,96,100,1.28,light rain
137,Ambilobe,MG,2021-08-01 22:37:50,-13.2,49.05,67.42,81,7,2.71,clear sky
138,Alice Springs,AU,2021-08-01 22:43:16,-23.7,133.8833,54.95,62,40,8.05,scattered clouds
139,Baoying,CN,2021-08-01 22:43:28,33.2292,119.3092,78.08,90,3,3.78,light rain
