City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
226,Zhangye,CN,71.29,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
227,Tuktoyaktuk,CA,69.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
229,Sao Filipe,CV,76.01,clear sky,14.8961,-24.4956,Hotel Xaguate
235,Baykit,RU,60.19,overcast clouds,61.67,96.37,
236,Valdez,EC,78.35,few clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
240,Barcelos,PT,65.91,overcast clouds,41.5388,-8.6151,Hotel Do Terço
242,San Carlos,VE,73.81,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
243,Maridi,SS,65.48,light rain,4.9158,29.4742,
244,Zhezkazgan,KZ,79.52,broken clouds,47.8043,67.7144,Hotel Zumrat
247,Zhigansk,RU,67.1,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
248,Syava,RU,67.03,overcast clouds,58.0146,46.3222,
249,Sao Joao Batista,BR,66.04,overcast clouds,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
250,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
252,Paulo Afonso,BR,68.58,broken clouds,-9.4061,-38.2147,Pousada Ilha Bela
253,Fortuna,US,69.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
254,Sept-Iles,CA,66.72,broken clouds,50.2001,-66.3821,Comfort Inn
256,Tevaitoa,PF,77.09,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
257,Kankan,GN,71.78,light rain,10.3854,-9.3057,Hotel Bate
258,Yako,BF,79.66,clear sky,12.9667,-2.2667,CADAAY
260,Georgetown,MY,75.88,few clouds,5.4112,100.3354,Cititel Penang
261,Inirida,CO,72.57,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
262,Kismayo,SO,75.0,light rain,-0.3582,42.5454,Agan-Hotel
264,Yambio,SS,67.23,light rain,4.5721,28.3955,Naivasha Hotel
265,College,US,78.01,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
268,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
269,Waingapu,ID,76.21,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
270,Luau,AO,61.61,few clouds,-10.7073,22.2247,Casa- Bernardo Cândido
271,Durres,AL,78.98,clear sky,41.3231,19.4414,Palace Hotel & Spa Durrës
272,Biltine,TD,71.2,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
275,Bac Lieu,VN,78.78,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
276,Piney Green,US,75.38,thunderstorm with light rain,34.716,-77.3202,Holiday City Mobile Home Community
278,Itarema,BR,79.0,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
279,Freeport,US,75.22,few clouds,40.6576,-73.5832,The Freeport Inn and Marina
284,Siguiri,GN,71.46,light rain,11.6667,-9.5,
285,Sobolevo,RU,65.28,overcast clouds,54.4299,31.8996,
286,Sorong,ID,79.9,scattered clouds,-0.8833,131.25,waigo splash hotel
291,Damara,CF,74.62,overcast clouds,4.9608,18.7035,
292,Yumen,CN,65.34,overcast clouds,40.2833,97.2,
293,Chokwe,MZ,62.92,clear sky,-24.5333,32.9833,Complexo Sonho Real
294,Harper,LR,76.55,overcast clouds,4.375,-7.7169,Screensaver
296,Benguela,AO,70.16,clear sky,-12.5763,13.4055,Hotel Praia Morena
298,Bubaque,GW,79.79,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
303,Plouzane,FR,60.85,overcast clouds,48.3833,-4.6167,Carrefour Voyages Plouzané
305,Pathanamthitta,IN,73.62,overcast clouds,9.2667,76.7833,Vijaya Residency
307,Hualmay,PE,65.44,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
312,Deep River,CA,63.43,overcast clouds,46.1001,-77.4995,Deep River Motel
313,Acarau,BR,78.62,overcast clouds,-2.8856,-40.12,castelo pizzaria
315,Soubre,CI,71.13,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
316,Poitiers,FR,61.21,clear sky,46.5833,0.3333,ibis Poitiers Centre
317,Paungde,MM,76.15,overcast clouds,18.4833,95.5,Shwe Eain Matt highly cool guest house
319,Sibu,MY,73.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
320,Lima,PE,63.9,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
322,Broome,US,63.19,light rain,42.2506,-75.833,Chenango Valley State Park
323,Vao,NC,66.79,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
329,Mutis,CO,79.79,overcast clouds,6.2262,-77.4044,Paraiso Escondido
330,Comodoro Rivadavia,AR,64.26,clear sky,-45.8667,-67.5,Austral Hotel
334,Hamadan,IR,69.55,broken clouds,34.7992,48.5146,Parsian BuAli Hotel
335,Grand Gaube,MU,66.6,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
337,Iwanai,JP,75.34,overcast clouds,42.9744,140.5089,いわない高原ホテル
338,Kaihua,CN,64.11,scattered clouds,23.3687,104.28,Zhongyu Hotel
340,Birao,CF,69.62,broken clouds,10.2849,22.7882,
