City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Orbetello,IT,2021-07-31 18:32:41,42.4408,11.2196,87.62,88,90,5.75
100,Leshukonskoye,RU,2021-07-31 18:33:07,64.8989,45.7622,54.81,98,100,4.32
101,Kisangani,CD,2021-07-31 18:36:10,0.5167,25.2,78.24,69,100,1.97
102,Vanimo,PG,2021-07-31 18:33:48,-2.6741,141.3028,76.41,89,45,4.72
103,Cacu,BR,2021-07-31 18:36:10,-18.5567,-51.1308,85.14,15,18,3.6
104,Saskylakh,RU,2021-07-31 18:36:11,71.9167,114.0833,65.17,40,0,8.48
105,Churapcha,RU,2021-07-31 18:36:11,62.0025,132.4325,54.63,64,1,4.63
106,Beira,MZ,2021-07-31 18:36:11,-19.8436,34.8389,71.69,83,20,6.91
107,Kodiak,US,2021-07-31 18:36:11,57.79,-152.4072,51.31,87,90,6.91
108,Clyde River,CA,2021-07-31 18:36:12,70.4692,-68.5914,44.83,81,75,8.05
109,Mount Isa,AU,2021-07-31 18:36:12,-20.7333,139.5,67.77,49,90,0.0
110,Souillac,MU,2021-07-31 18:32:47,-20.5167,57.5167,70.18,73,20,13.8
111,Coquimbo,CL,2021-07-31 18:34:05,-29.9533,-71.3436,56.93,71,20,12.66
112,Yumen,CN,2021-07-31 18:36:12,40.2833,97.2,78.57,19,100,22.39
113,Vila Velha,BR,2021-07-31 18:36:13,-20.3297,-40.2925,73.96,70,75,18.41
114,Tasiilaq,GL,2021-07-31 18:36:13,65.6145,-37.6368,57.36,77,55,2.68
115,Belaya,UA,2021-07-31 18:36:13,49.029,25.7706,75.97,59,6,6.55
116,Antofagasta,CL,2021-07-31 18:34:50,-23.65,-70.4,66.22,65,19,10.33
117,Novopokrovka,UA,2021-07-31 18:36:14,49.8425,36.5477,80.98,49,53,4.47
118,Rocha,UY,2021-07-31 18:36:14,-34.4833,-54.3333,57.51,58,0,4.94
119,Levelland,US,2021-07-31 18:36:14,33.5873,-102.378,94.19,30,46,7.85
120,Port Elizabeth,ZA,2021-07-31 18:36:15,-33.918,25.5701,59.09,71,40,5.75
121,Atyrau,KZ,2021-07-31 18:36:15,47.1167,51.8833,77.02,25,0,6.71
122,Bubaque,GW,2021-07-31 18:36:15,11.2833,-15.8333,77.58,90,100,17.36
123,Junagarh,IN,2021-07-31 18:36:16,19.8667,82.9333,75.69,88,100,5.61
124,Monrovia,LR,2021-07-31 18:36:16,6.3005,-10.7969,73.17,86,76,11.99
125,Fort Nelson,CA,2021-07-31 18:36:16,58.8053,-122.7002,76.59,50,1,3.44
126,Neijiang,CN,2021-07-31 18:36:17,29.5835,105.0622,73.47,74,0,5.53
127,Tura,IN,2021-07-31 18:36:17,25.5198,90.2201,74.3,98,100,5.1
128,New Norfolk,AU,2021-07-31 18:36:17,-42.7826,147.0587,49.91,72,12,1.01
129,South Sioux City,US,2021-07-31 18:36:17,42.4739,-96.4136,78.75,57,1,9.22
130,Camacha,PT,2021-07-31 18:36:18,33.0833,-16.3333,71.02,64,40,16.11
131,Sakaiminato,JP,2021-07-31 18:36:18,35.55,133.2333,75.18,88,75,1.14
132,Adrar,MR,2021-07-31 18:33:46,20.5022,-10.0711,101.34,19,58,7.14
133,Port Augusta,AU,2021-07-31 18:36:18,-32.5,137.7667,52.7,88,100,3.8
134,Mocuba,MZ,2021-07-31 18:36:19,-16.8392,36.9856,63.48,97,7,3.83
135,Gayeri,BF,2021-07-31 18:36:19,12.6497,0.4931,78.76,78,98,13.35
136,Narsaq,GL,2021-07-31 18:36:19,60.9167,-46.05,66.42,67,15,4.34
137,Pisco,PE,2021-07-31 18:36:20,-13.7,-76.2167,66.02,77,75,10.36
138,Mitsamiouli,KM,2021-07-31 18:36:20,-11.3847,43.2844,77.09,72,0,5.19
139,Farafangana,MG,2021-07-31 18:36:20,-22.8167,47.8333,66.43,68,8,4.99
140,Provideniya,RU,2021-07-31 18:36:20,64.3833,-173.3,45.63,85,100,3.09
141,Inta,RU,2021-07-31 18:36:21,66.0317,60.1659,54.7,60,100,11.23
142,Codrington,AU,2021-07-31 18:33:55,-38.2667,141.9667,42.35,91,93,8.28
143,Dingle,PH,2021-07-31 18:32:45,10.9995,122.6711,78.1,87,96,6.89
144,Kontagora,NG,2021-07-31 18:36:21,10.3999,5.4695,74.98,85,90,1.92
145,Kavieng,PG,2021-07-31 18:36:22,-2.5744,150.7967,80.87,75,44,5.97
146,Zemio,CF,2021-07-31 18:36:22,5.0314,25.1361,69.24,97,100,3.15
147,Tateyama,JP,2021-07-31 18:36:22,34.9833,139.8667,81.01,83,18,1.92
148,Cherskiy,RU,2021-07-31 18:36:22,68.75,161.3,41.52,92,100,14.56
149,Georgetown,MY,2021-07-31 18:36:23,5.4112,100.3354,78.73,94,40,8.01
150,Grand Gaube,MU,2021-07-31 18:36:23,-20.0064,57.6608,70.2,71,0,3.0
151,Mahebourg,MU,2021-07-31 18:36:23,-20.4081,57.7,70.09,73,20,13.8
152,Marrakesh,MA,2021-07-31 18:31:28,31.6315,-8.0083,91.47,27,0,12.66
153,Bambous Virieux,MU,2021-07-31 18:36:24,-20.3428,57.7575,70.05,73,20,13.8
154,Price,US,2021-07-31 18:36:24,39.5994,-110.8107,79.72,57,1,6.91
155,Svetlogorsk,BY,2021-07-31 18:36:24,52.6333,29.7333,68.88,83,100,9.33
156,Saint-Pierre,RE,2021-07-31 18:36:25,-21.3393,55.4781,69.48,69,0,19.57
157,Hofn,IS,2021-07-31 18:36:25,64.2539,-15.2082,50.09,87,45,11.03
158,Urucara,BR,2021-07-31 18:36:25,-2.5364,-57.76,92.75,35,80,5.14
159,Khatanga,RU,2021-07-31 18:32:15,71.9667,102.5,69.08,37,100,11.79
160,Aklavik,CA,2021-07-31 18:36:26,68.2191,-135.0107,74.12,41,93,5.7
161,Constantine,DZ,2021-07-31 18:36:26,36.365,6.6147,90.81,25,75,10.36
162,Tokmak,UA,2021-07-31 18:34:36,47.2514,35.7058,75.54,55,0,5.61
163,Teluk Nibung,ID,2021-07-31 18:34:42,3.001,99.8164,76.57,88,100,3.22
164,Naze,JP,2021-07-31 18:36:26,28.3667,129.4833,78.78,84,99,8.55
165,Labuhan,ID,2021-07-31 18:36:27,-6.8844,112.2051,75.63,84,72,7.07
166,Tuktoyaktuk,CA,2021-07-31 18:32:44,69.4541,-133.0374,62.6,82,75,18.41
167,Chapais,CA,2021-07-31 18:32:46,49.7834,-74.8492,60.58,36,82,7.34
168,Comarapa,BO,2021-07-31 18:36:27,-17.9,-64.4833,61.92,51,28,8.75
169,Santa Maria,BR,2021-07-31 18:32:45,-29.6842,-53.8069,61.9,51,0,8.05
170,Eregli,TR,2021-07-31 18:36:27,37.5133,34.0467,73.74,31,0,6.31
171,Ixtapa,MX,2021-07-31 18:36:28,20.7,-105.2,85.23,74,90,2.3
172,Esperance,AU,2021-07-31 18:36:28,-33.8667,121.9,48.04,72,8,28.81
173,Qaqortoq,GL,2021-07-31 18:36:28,60.7167,-46.0333,66.7,79,34,4.29
174,Hurghada,EG,2021-07-31 18:36:29,27.2574,33.8129,93.24,31,0,1.14
175,Westport,US,2021-07-31 18:36:29,41.1415,-73.3579,78.75,52,20,1.99
176,Derzhavinsk,KZ,2021-07-31 18:36:29,51.1,66.3167,69.85,78,100,7.74
177,Nishihara,JP,2021-07-31 18:36:29,26.1842,127.7558,81.68,95,75,9.22
178,Victoria,HK,2021-07-31 18:33:59,22.2855,114.1577,86.38,92,97,8.01
179,Najran,SA,2021-07-31 18:36:30,17.4924,44.1277,88.45,41,63,14.47
180,Komsomolskiy,UZ,2021-07-31 18:36:30,40.4272,71.7189,83.12,36,99,4.61
181,La Ronge,CA,2021-07-31 18:36:30,55.1001,-105.2842,75.45,35,20,4.61
182,Xinyu,CN,2021-07-31 18:33:02,27.8043,114.9334,77.77,86,9,1.61
183,Tuatapere,NZ,2021-07-31 18:36:31,-46.1333,167.6833,47.82,97,100,4.23
184,Elk City,US,2021-07-31 18:36:31,35.412,-99.4043,96.78,40,1,4.61
185,Krasnyy Chikoy,RU,2021-07-31 18:36:31,50.3643,108.7512,55.33,96,75,2.19
186,Kahului,US,2021-07-31 18:34:15,20.8947,-156.47,81.97,67,20,17.27
187,San Carlos,VE,2021-07-31 18:36:32,9.6612,-68.5827,85.14,63,69,5.1
188,Nova Olinda Do Norte,BR,2021-07-31 18:36:32,-3.8881,-59.0942,94.95,28,41,2.98
189,Longyearbyen,SJ,2021-07-31 18:36:32,78.2186,15.6401,46.24,66,75,12.66
190,Oktyabrskoye,RU,2021-07-31 18:36:33,43.0645,44.7417,66.34,88,86,2.24
191,Norman Wells,CA,2021-07-31 18:36:33,65.282,-126.8329,75.24,53,75,2.3
192,Nandi,IN,2021-07-31 18:36:33,13.3855,77.6984,72.82,78,62,14.14
193,San Ramon,US,2021-07-31 18:33:00,37.7799,-121.978,86.4,50,1,5.01
194,Wakkanai,JP,2021-07-31 18:36:34,45.4094,141.6739,68.68,92,100,25.39
195,San Cristobal,VE,2021-07-31 18:36:34,7.7669,-72.225,86.18,49,90,8.63
196,Road Town,VG,2021-07-31 18:31:48,18.4167,-64.6167,87.21,74,40,10.36
197,Hasaki,JP,2021-07-31 18:36:35,35.7333,140.8333,75.6,91,80,9.44
198,Joshimath,IN,2021-07-31 18:36:35,30.5667,79.5667,71.6,90,89,1.07
199,Kruisfontein,ZA,2021-07-31 18:36:35,-34.0033,24.7314,56.88,62,13,1.12
200,Bardiyah,LY,2021-07-31 18:36:36,31.7561,25.0865,81.43,77,0,18.61
201,Hamilton,US,2021-07-31 18:35:30,39.1834,-84.5333,80.24,71,75,1.99
202,Skjervoy,NO,2021-07-31 18:36:36,70.0311,20.9714,45.99,80,100,5.44
203,Ranapur,IN,2021-07-31 18:36:36,22.65,74.5333,76.08,88,100,19.35
204,Khiri Mat,TH,2021-07-31 18:36:37,16.8333,99.8,84.87,68,100,10.71
205,Kijini,TZ,2021-07-31 18:36:37,-5.85,39.3167,78.53,83,11,12.59
206,Ghanzi,BW,2021-07-31 18:36:37,-21.5667,21.7833,54.91,32,0,8.52
207,Caibarien,CU,2021-07-31 18:36:37,22.5206,-79.4669,92.52,72,8,11.12
208,Griffith,US,2021-07-31 18:36:38,41.5284,-87.4237,80.1,59,40,4.0
209,Huarmey,PE,2021-07-31 18:36:38,-10.0681,-78.1522,70.93,69,2,12.17
210,Karpogory,RU,2021-07-31 18:36:38,64.0019,44.4451,57.36,88,46,3.29
211,San Nicolas,PH,2021-07-31 18:36:39,18.1725,120.5953,80.51,94,75,11.5
212,Lompoc,US,2021-07-31 18:36:39,34.6391,-120.4579,74.93,79,90,10.36
213,Yakima,US,2021-07-31 18:36:39,46.4665,-120.6678,92.64,40,1,5.75
214,Newtownards,GB,2021-07-31 18:35:10,54.5924,-5.6909,57.94,72,90,4.0
215,Faanui,PF,2021-07-31 18:36:40,-16.4833,-151.75,77.59,64,100,16.49
216,Marysville,US,2021-07-31 18:36:24,48.0518,-122.1771,73.44,74,1,5.75
217,Akdepe,TM,2021-07-31 18:36:40,42.0551,59.3788,80.6,16,0,11.97
218,Lebanon,US,2021-07-31 18:32:54,36.2081,-86.2911,92.79,53,1,4.61
219,Salalah,OM,2021-07-31 18:36:40,17.0151,54.0924,78.89,89,90,8.05
220,Bengkulu,ID,2021-07-31 18:36:41,-3.8004,102.2655,75.56,91,16,4.14
221,Takanosu,JP,2021-07-31 18:36:41,40.2219,140.3694,73.27,90,100,5.48
222,Dunoon,GB,2021-07-31 18:36:41,55.947,-4.923,64.31,77,100,3.51
223,Axim,GH,2021-07-31 18:31:58,4.8699,-2.2405,77.2,84,100,7.52
224,Shakawe,BW,2021-07-31 18:36:42,-18.3667,21.85,58.42,35,0,6.08
225,Zhangjiakou,CN,2021-07-31 18:36:42,40.81,114.8794,66.54,65,37,12.1
226,Faya,SA,2021-07-31 18:36:42,18.3851,42.4509,64.51,78,100,13.4
227,Ucluelet,CA,2021-07-31 18:36:43,48.9329,-125.5528,61.11,76,93,8.77
228,Vila,PT,2021-07-31 18:36:43,42.0304,-8.1588,59.32,65,100,5.84
229,Dunedin,NZ,2021-07-31 18:32:28,-45.8742,170.5036,50.81,85,100,15.01
230,Puerto Lopez,CO,2021-07-31 18:36:43,4.0845,-72.956,82.6,67,72,6.8
231,Upernavik,GL,2021-07-31 18:36:43,72.7868,-56.1549,43.29,77,100,1.99
232,Kindia,GN,2021-07-31 18:36:44,10.0569,-12.8658,68.79,98,100,2.57
233,Nouadhibou,MR,2021-07-31 18:36:44,20.931,-17.0347,73.38,78,20,21.85
234,Mataura,NZ,2021-07-31 18:36:44,-46.1927,168.8643,47.48,100,100,1.16
235,Ketchikan,US,2021-07-31 18:35:18,55.3422,-131.6461,66.67,82,20,9.22
236,Sosnovo-Ozerskoye,RU,2021-07-31 18:36:45,52.5249,111.5418,49.89,94,45,3.56
237,Toyooka,JP,2021-07-31 18:36:45,35.5333,134.8333,73.62,91,2,3.29
238,Kaitangata,NZ,2021-07-31 18:36:45,-46.2817,169.8464,47.14,97,100,2.53
239,Altay,CN,2021-07-31 18:36:46,47.8667,88.1167,58.73,56,46,4.0
240,Tiksi,RU,2021-07-31 18:32:44,71.6872,128.8694,39.78,92,90,6.89
241,Lubumbashi,CD,2021-07-31 18:36:46,-11.6609,27.4794,60.78,48,0,5.1
242,Airai,TL,2021-07-31 18:36:47,-8.9266,125.4092,58.5,91,61,3.78
243,Vestmannaeyjar,IS,2021-07-31 18:36:47,63.4427,-20.2734,53.58,93,99,8.93
244,Sompeta,IN,2021-07-31 18:36:47,18.9333,84.6,81.91,75,100,6.31
245,Carballo,ES,2021-07-31 18:36:47,43.213,-8.691,67.77,73,52,5.08
246,Bereda,ES,2021-07-31 18:36:48,43.2686,-7.5406,65.41,54,13,5.06
247,Pangnirtung,CA,2021-07-31 18:34:50,66.1451,-65.7125,51.8,82,75,11.5
248,Nador,MA,2021-07-31 18:36:48,35.174,-2.9287,86.07,38,0,23.02
249,Diamantino,BR,2021-07-31 18:36:49,-14.4086,-56.4461,95.16,13,1,1.97
250,Key West,US,2021-07-31 18:36:49,24.5557,-81.7826,91.4,64,20,8.05
251,Sobolevo,RU,2021-07-31 18:36:49,54.4299,31.8996,64.72,68,98,2.17
252,Sorland,NO,2021-07-31 18:36:49,67.667,12.6934,49.28,76,100,11.1
253,Shetpe,KZ,2021-07-31 18:36:50,44.1667,52.1167,83.86,27,5,11.54
254,Cidreira,BR,2021-07-31 18:36:50,-30.1811,-50.2056,57.79,78,0,14.45
255,Mao,ES,2021-07-31 18:36:50,39.8885,4.2658,81.16,78,40,5.75
256,Quatre Cocos,MU,2021-07-31 18:36:51,-20.2078,57.7625,69.91,64,6,16.26
257,Lake Charles,US,2021-07-31 18:36:51,30.2131,-93.2044,94.98,56,75,0.0
258,Torbay,CA,2021-07-31 18:36:51,47.6666,-52.7314,69.89,77,75,31.07
259,Lagoa,PT,2021-07-31 18:36:51,39.05,-27.9833,71.26,79,100,9.37
260,Kushmurun,KZ,2021-07-31 18:36:52,52.4503,64.6311,69.06,85,100,4.56
261,Sajanan,TN,2021-07-31 18:36:52,37.0573,9.2426,91.67,41,59,5.19
262,Nuuk,GL,2021-07-31 18:36:52,64.1835,-51.7216,52.41,76,75,8.05
263,Senanga,ZM,2021-07-31 18:36:53,-16.1167,23.2667,59.63,39,0,6.73
264,Valle Hermoso,MX,2021-07-31 18:36:53,25.6667,-97.8333,93.92,48,34,15.95
265,Varniai,LT,2021-07-31 18:36:53,55.7406,22.3644,67.69,94,29,0.74
266,Tecoanapa,MX,2021-07-31 18:36:54,16.5167,-98.75,86.14,66,11,9.84
267,Tim,RU,2021-07-31 18:36:54,51.6222,37.1244,70.92,53,23,3.38
268,Hernani,ES,2021-07-31 18:36:54,43.2662,-1.9762,65.91,86,90,4.0
269,Mantua,IT,2021-07-31 18:36:54,45.1667,10.7833,88.12,69,74,3.0
270,Aksarayskiy,RU,2021-07-31 18:36:55,46.7924,48.0119,73.35,45,100,6.46
271,Cap Malheureux,MU,2021-07-31 18:36:56,-19.9842,57.6142,70.29,71,0,3.0
272,Saint-Georges,GD,2021-07-31 18:36:56,12.0564,-61.7485,85.68,79,20,23.02
273,Lorengau,PG,2021-07-31 18:36:56,-2.0226,147.2712,79.79,77,25,3.74
274,Teluknaga,ID,2021-07-31 18:36:56,-6.0989,106.6381,80.64,88,40,5.99
275,Lubango,AO,2021-07-31 18:36:57,-14.9172,13.4925,60.64,22,0,3.42
276,Moers,DE,2021-07-31 18:36:57,51.45,6.65,68.99,68,20,8.05
277,Jiwani,PK,2021-07-31 18:36:57,25.05,61.7417,81.97,87,74,10.07
278,Krasnoselkup,RU,2021-07-31 18:36:58,65.7,82.4667,53.02,74,89,8.28
279,Paramonga,PE,2021-07-31 18:36:58,-10.6667,-77.8333,68.86,72,5,13.78
280,Guerrero Negro,MX,2021-07-31 18:36:58,27.9769,-114.0611,84.96,49,7,9.98
281,Kalamazoo,US,2021-07-31 18:36:40,42.2506,-85.55,78.04,50,1,4.61
282,Taoudenni,ML,2021-07-31 18:36:59,22.6783,-3.9836,107.87,10,1,4.05
283,Moose Factory,CA,2021-07-31 18:36:59,51.2585,-80.6094,68.0,52,40,8.05
284,Cabo San Lucas,MX,2021-07-31 18:36:26,22.8909,-109.9124,98.51,52,20,5.01
285,Krivosheino,RU,2021-07-31 18:36:59,57.3431,83.9261,58.96,82,100,5.55
286,Suining,CN,2021-07-31 18:37:00,30.508,105.5733,77.58,67,0,2.93
287,Simpang,ID,2021-07-31 18:37:00,-1.2667,104.0833,77.56,84,66,2.59
288,Say,NE,2021-07-31 18:37:00,13.1007,2.3689,90.16,58,84,12.26
289,Takoradi,GH,2021-07-31 18:37:00,4.8845,-1.7554,76.87,83,83,7.76
290,Berlevag,NO,2021-07-31 18:37:01,70.8578,29.0864,49.24,89,100,11.18
